GEN UID,Bus ID,Unit Type,Fuel,MW Inj,MVAR Inj,V Setpoint p.u.,PMax MW,PMin MW,QMax MVAR,QMin MVAR,Min Down Time Hr,Min Up Time Hr,Ramp Rate MW/Min,Start Time Cold Hr,Start Time Warm Hr,Start Time Hot Hr,Start Heat Cold MBTU,Start Heat Warm MBTU,Start Heat Hot MBTU,Non Fuel Start Cost $,Fuel Price $/MMBTU,Output_pct_0,Output_pct_1,Output_pct_2,Output_pct_3,HR_avg_0,HR_incr_1,HR_incr_2,HR_incr_3,HR_incr_4
10_BIO,10,BIO,B,0,0,1,55.6,55.6,13,-13,7,7,7.722222228,9999,9999,9999,,0,9999,147.3826946,0,0.5,1,,,0,0,,,
10_CC,10,CC,G,0,0,1,15588,8573.399782,13,-13,8,6,133.5173149,9999,9999,9999,,0,9999,29024.81266,2.677787,0.5,1,,,154.6522144,6.786254744,,,
10_CT,10,CT,C,0,0,1,7730.1,3478.544907,13,-13,0,0,413.0981982,9999,9999,9999,,0,9999,11893.78319,2.169001,0.5,1,,,25.82021964,12.224637,,,
10_HYDRO,10,HYDRO,H,0,0,1,27,5.5809,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
10_LFILL,10,LFILL,G,0,0,1,90,90,13,-13,6,7,12.50000001,9999,9999,9999,,0,9999,471.2839467,2.677787,0.5,1,,,0,0,,,
10_OGS,10,OGS,G,0,0,1,111.3,50.08499866,13,-13,1,1,5.947895818,9999,9999,9999,,0,9999,1001.733712,2.677787,0.5,1,,,0,0,,,
10_PV,10,PV,S,0,0,1,10921.36364,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
10_WIND,10,WIND,W,0,0,1,655.6725,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
11_CT,11,CT,C,0,0,1,4117.096045,1852.693171,13,-13,0,0,220.0184937,9999,9999,9999,,0,9999,4850.136375,2.169001,0.5,1,,,26.80204705,12.68948525,,,
11_HYDRO,11,HYDRO,H,0,0,1,16,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
1_LFILL,1,LFILL,G,0,0,1,5.4,5.4,13,-13,6,7,0.750000001,9999,9999,9999,,0,9999,29.15312929,2.677787,0.5,1,,,0,0,,,
11_LFILL,11,LFILL,G,0,0,1,5.4,5.4,13,-13,6,7,0.750000001,9999,9999,9999,,0,9999,28.56373786,2.677787,0.5,1,,,0,0,,,
11_OGS,11,OGS,G,0,0,1,15.6,7.019999813,13,-13,1,1,0.833667338,9999,9999,9999,,0,9999,178.8383287,2.677787,0.5,1,,,0,0,,,
11_PV,11,PV,S,0,0,1,1767.545455,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
1_HYDRO,1,HYDRO,H,0,0,1,2237,102.7104341,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
1_LFILL,1,LFILL,G,0,0,1,5.4,5.4,13,-13,6,7,0.750000001,9999,9999,9999,,0,9999,29.15312929,2.677787,0.5,1,,,0,0,,,
11_LFILL,11,LFILL,G,0,0,1,5.4,5.4,13,-13,6,7,0.750000001,9999,9999,9999,,0,9999,28.56373786,2.677787,0.5,1,,,0,0,,,
1_PV,1,PV,S,0,0,1,807.4545455,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
1_WIND,1,WIND,W,0,0,1,202.9293,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
2_HYDRO,2,HYDRO,H,0,0,1,3318,159.7798534,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
2_LFILL,2,LFILL,G,0,0,1,26,26,13,-13,6,7,3.611111114,9999,9999,9999,,0,9999,138.3617583,2.677787,0.5,1,,,0,0,,,
2_PV,2,PV,S,0,0,1,293.8181818,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
2_WIND,2,WIND,W,0,0,1,9.0153,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
3_HYDRO,3,HYDRO,H,0,0,1,1200,317.7218916,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
3_PV,3,PV,S,0,0,1,172,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
3_WIND,3,WIND,W,0,0,1,105.3,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
4_HYDRO,4,HYDRO,H,0,0,1,8707,645.2908748,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
4_PV,4,PV,S,0,0,1,29.45454545,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
4_WIND,4,WIND,W,0,0,1,126,0,13,-13,,,-9999,9999,9999,9999,,0,9999,-9999,,0.5,1,,,0,0,,,
5_BIO,5,BIO,B,0,0,1,14.8,14.8,13,-13,7,7,2.055555557,9999,9999,9999,,0,9999,39.32926828,0,0.5,1,,,0,0,,,
5_CC,5,CC,G,0,0,1,2497.8,1373.789965,13,-13,8,6,21.39463364,9999,9999,9999,,0,9999,35027.22061,2.677787,0.5,1,,,156.5168387,6.86807585,,,
